source,target,km,days,expense,type
Pons Aeni,Iuvavum,85.744,2.858,3.001,road
Pons Aeni,Veldidena,104.719,6.981,0.712,upstream
Pons Aeni,Boiodurum,162.509,2.5,0.553,downstream
Pons Drusi,Maiensis Statio,25.576,0.853,0.895,road
Populonium,Cosa,104.54,0.754,0.075,coastal
Populonium,Pisae,96.778,0.753,0.075,coastal
Populonium,Ilva,53.106,0.441,0.044,coastal
Portus,Roma,27.387,2.739,0.186,upstream
Potidaion,Paraetonium,465.407,2.718,0.272,overseas
Potidaion,Rhodos,160.981,1.001,0.1,coastal
Potidaion,Samonion Pr.,108.12,0.832,0.083,coastal
Puteoli,Ostia/Portus,213.552,1.783,0.178,coastal
Puteoli,Tarracina,101.753,0.91,0.091,coastal
Puteoli,Palinurus Pr.,115.546,0.763,0.076,coastal
Pyramos (river),Rhodos,832.912,7.36,0.736,coastal
Pyramos (river),Corycus,147.33,1.599,0.16,coastal
Reate,Asculum,95.146,3.172,3.33,road
Reate,Roma,71.577,2.386,2.505,road
Regium,Palinurus Pr.,270.492,2.355,0.235,coastal
Rheneia,Mykonos,28.437,0.233,0.023,coastal
Rhodos,Alexandria,652.849,3.222,0.322,overseas
Rhodos,Ephesus,242.042,2.129,0.213,coastal
Rhodos,Patara,107.373,0.591,0.059,coastal
Rhodos,Tenedos,492.032,4.495,0.45,coastal
Rhodos,Chios,313.931,2.957,0.296,coastal
Rhodos,Sigeion,561.522,4.718,0.472,coastal
Rhodos,Astypaleia,191.696,1.571,0.157,coastal
Rhodos,Samos,204.866,1.947,0.195,coastal
Rhodos,Potidaion,160.981,0.974,0.097,coastal
Rhodos,Myndos,135.13,1.278,0.128,coastal
Rhodos,Kos,119.749,1.117,0.112,coastal
Rhodos,Cnidus,103.32,0.946,0.095,coastal
Rhodos,Caunus,67.445,0.454,0.045,coastal
Rhodos,Corycus,587.306,2.941,0.294,coastal
Rhodos,Pyramos (river),719.073,3.585,0.359,coastal
Rhodos,Nisyros,114.597,0.95,0.095,coastal
Rhodos,Samonion Pr.,256.332,1.669,0.167,overseas
Rhodos,Selinous,571.326,5.101,0.51,coastal
Rhodos,Skyllaion Pr.,481.038,3.591,0.359,coastal
Rhodos,Telos,128.861,0.78,0.078,coastal
Roma,Cosa,126.445,4.215,4.426,road
Roma,Ferentinum,70.543,2.351,2.469,road
Roma,Ocriculum,104.506,6.967,0.711,upstream
Roma,Ostia/Portus,28.839,0.444,0.098,downstream
Roma,Portus,27.387,0.228,0.093,fastdown
Roma,Reate,71.577,2.386,2.505,road
Roma,Tibur,28.372,0.946,0.993,road
Roma,Volsinii,100.804,3.36,3.528,road
Roma,Forum Appii,68.622,2.287,2.402,road
Samonion Pr.,Kriou Metopon,323.152,2.503,0.25,coastal
Samonion Pr.,Kadiston Mons,52.418,0.471,0.047,coastal
Samonion Pr.,Potidaion,108.12,0.646,0.065,coastal
Samonion Pr.,Rhodos,256.332,1.477,0.148,overseas
Samos,Chios,135.311,1.302,0.13,coastal
Samos,Trogilion Pr.,15.397,0.168,0.017,coastal
Samos,Kos,109.842,0.713,0.071,slowcoast
Samos,Rhodos,204.866,1.272,0.127,slowcoast
Samos,Amorgos,145.962,0.828,0.083,coastal
Samos,Corseae,55.821,0.35,0.035,coastal
Samos,Icaros,99.899,0.826,0.083,coastal
Samos,Kerea,168.673,1.152,0.115,coastal
Samos,Patmos,61.821,0.32,0.032,coastal
Selinous,Thessalonica,200.364,1.869,0.187,coastal
Selinous,Geraistos,193.346,1.171,0.117,slowcoast
Selinous,Delos,255.35,1.578,0.158,coastal
Selinous,Rhodos,565.693,2.662,0.266,coastal
Selinous,Demetrias,87.038,0.612,0.061,coastal
Sigeion,Ephesus,336.653,1.68,0.168,coastal
Sigeion,Rhodos,515.806,2.582,0.258,coastal
Siphnos,Delos,93.129,0.628,0.063,coastal
Siphnos,Kimolos,37.107,0.166,0.017,coastal
Skyllaion Pr.,Aufidus,1033.292,9.281,0.928,coastal
Skyllaion Pr.,Isthmia,129.053,0.869,0.087,coastal
Skyllaion Pr.,Rhodos,481.038,2.554,0.255,coastal
Sounion Pr.,Athenae,69.101,0.651,0.065,slowcoast
Sounion Pr.,Chalcis,141.394,1.215,0.121,coastal
Sounion Pr.,Geraistos,77.307,0.476,0.048,coastal
Sounion Pr.,Delos,125.181,0.708,0.071,coastal
Sounion Pr.,Trogilion Pr.,292.92,1.543,0.154,coastal
Sounion Pr.,Myndos,319.4,1.987,0.199,coastal
Sounion Pr.,Ceos,31.671,0.103,0.01,coastal
Summuntorium,Augusta Vindelicum,32.01,1.067,1.12,road
Summuntorium,Castra Regina,125.35,1.045,0.426,fastdown
Syros,Delos,33.56,0.154,0.015,coastal
Syros,Cythnos,90.101,0.457,0.046,coastal
Tarracina,Ostia/Portus,125.463,1.079,0.108,coastal
Tarracina,Puteoli,101.753,0.723,0.072,coastal
Tarracina,Forum Appii,23.678,1.579,0.161,upstream
Tarraco,Palma,257.789,1.715,0.172,overseas
Telos,Rhodos,128.861,0.64,0.064,coastal
Telos,Nisyros,58.562,0.308,0.031,coastal
Tenedos,Athos Mons,192.467,1.213,0.121,coastal
Tenedos,Rhodos,492.047,2.975,0.297,slowcoast
Tenos,Delos,35.792,0.156,0.016,coastal
Tenos,Andros,52.785,0.343,0.034,coastal
Tenos,Ceos,94.311,0.593,0.059,coastal
Tenos,Icaros,107.497,0.559,0.056,coastal
Thera,Delos,128.416,1.091,0.109,coastal
Thera,Kadiston Mons,147.176,0.741,0.074,coastal
Thera,Anaphe,66.915,0.334,0.033,coastal
Thera,Ios,50.182,0.344,0.034,coastal
Thessalonica,Larissa,152.729,5.091,5.346,road
Thessalonica,Pella,41.609,1.387,1.456,road
Thessalonica,Athos Mons,207.348,1.334,0.133,coastal
Thessalonica,Demetrias,240.75,1.436,0.144,coastal
Thessalonica,Amphipolis,96.883,3.229,3.391,road
Thessalonica,Selinous,200.364,0.856,0.086,coastal
Tibur,Alba Fucens,63.804,2.127,2.233,road
Tibur,Roma,28.372,0.946,0.993,road
Toletum,Augustobriga,149.43,4.981,5.23,road
Toletum,Bilbilis,294.636,9.821,10.312,road
Toletum,Mariana,177.724,5.924,6.22,road
Trogilion Pr.,Ephesus,46.841,0.292,0.029,coastal
Trogilion Pr.,Chalcis,367.89,3.094,0.309,coastal
Trogilion Pr.,Sounion Pr.,292.397,2.191,0.219,coastal
Trogilion Pr.,Samos,15.397,0.193,0.019,coastal
Trogilion Pr.,Bargylia,89.361,0.477,0.048,coastal
Veldidena,Parthanum,52.83,1.761,1.849,road
Veldidena,Pons Aeni,104.719,0.873,0.356,fastdown
Venta Icenorum,Camulodunum,185.056,1.32,0.132,coastal
Venta Icenorum,Mouth of Witham,191.828,1.231,0.123,coastal
Viminacium,Horreum Margi,92.801,3.093,3.248,road
Vindobona,Cetium,65.987,2.2,2.31,road
Vindobona,Lauriacum,182.409,3.648,1.24,fastup
Virunum,Ovilava,203.948,6.798,7.138,road
Volsinii,Clusium,43.476,1.449,1.522,road
Volsinii,Roma,100.804,3.36,3.528,road
Zacynthus,Euesperides,668.074,3.354,0.335,overseas
Zacynthus,Ichthys Pr.,44.243,0.283,0.028,coastal
Zacynthus,Krane,81.012,0.666,0.067,coastal
